step,true_distance_cm,observed_distance_cm,estimated_distance_cm,target_distance_cm,control_error_cm,predicted_next_distance_cm,prediction_error_cm,action_value,servo_angle,led_intensity,reason,disturbance
75,51.755227616252625,52.902937829893425,53.44410334069791,30.0,23.444103340697907,52.613622973153404,-0.014627650046975305,10.537058871616548,132,187,distance_too_large_reduce_distance,0.049849007624697836
76,49.07494005778039,48.80760212609095,51.82132791558547,30.0,21.82132791558547,50.97836320585615,-3.806020847062456,9.889909817250595,129,174,distance_too_large_reduce_distance,0.24166987392371886
77,45.78360292171027,44.97239997825471,49.424203137519704,30.0,19.424203137519704,48.63301035213966,-6.005963227601441,9.004123599876035,126,155,distance_too_large_reduce_distance,-0.14953842621778698
78,42.00510394176882,42.70151252567467,47.07126142337394,30.0,17.07126142337394,46.35093153538386,-5.931497826464984,8.281677275347825,123,136,distance_too_large_reduce_distance,0.05548889187684997
79,37.83951354028988,35.62119381231074,43.06373775950182,30.0,13.06373775950182,42.40120357747399,-10.729737723073114,6.430465373974261,115,104,distance_too_large_reduce_distance,0.21895663788856784
80,33.44566367255142,33.065056634797955,39.564199365855465,30.0,9.564199365855465,39.04976213593753,-9.336146942676038,5.215878998580294,110,76,distance_too_large_reduce_distance,-0.10827128890208343
81,28.95010654232548,30.842970229534792,36.51176916814323,30.0,6.511769168143232,36.094498848256805,-8.206791906402735,4.129898656168811,106,52,distance_too_large_reduce_distance,0.159871333145094
82,24.427262814753185,24.448257686012465,32.28954014939747,30.0,2.2895401493974674,31.959148256903962,-11.64624116224434,2.1335498299091746,98,18,distance_too_large_reduce_distance,-0.23167407937332793
83,20.043980719403326,20.33019210749325,28.103768334730994,30.0,-1.8962316652690063,27.93308434833826,-11.628956149410712,0.3551027776676644,91,15,distance_too_small_increase_distance,-0.12706884629777512
84,15.932439735369574,15.171154873064838,23.57735362314784,30.0,-6.42264637685216,23.548945400934425,-12.761929475273421,-1.717272534171712,83,51,distance_too_small_increase_distance,-0.13360826289941516
85,12.225161229154113,12.206611741009729,19.5975939643995,30.0,-10.4024060356005,19.73497576713324,-11.342333659924696,-3.4245435697563633,76,83,distance_too_small_increase_distance,-0.4185438759561639
86,9.05987772236799,8.946118648793425,15.869577603937374,30.0,-14.130422396062626,16.143541089517882,-10.788857118339815,-5.146883251468428,69,113,distance_too_small_increase_distance,0.17044036827495362
87,6.519700180220822,8.006369327460462,13.117454707170456,30.0,-16.882545292829544,13.52920536728793,-8.13717176205742,-6.341316485490032,64,135,distance_too_small_increase_distance,-0.16429081907095333
88,5.0,4.191934125903714,9.993522503727096,30.0,-20.006477496272904,10.500827822566299,-9.337271241384217,-8.035263220849153,57,160,distance_too_small_increase_distance,0.0043729415546906
89,5.0,2.7905890829876925,7.472495806468305,30.0,-22.527504193531694,8.115316864136236,-7.710238739578607,-9.299367785240214,52,180,distance_too_small_increase_distance,0.16826133061706813
90,5.0,5.325320899312618,6.720984588963814,30.0,-23.279015411036184,7.464934011783031,-2.7899959648236186,-9.574894322211698,51,186,distance_too_small_increase_distance,0.15628591161048042
91,5.54807397580825,6.788086623441949,6.7444703010311615,30.0,-23.25552969896884,7.510461846808098,-0.6768473883410824,-9.743363944122141,51,186,distance_too_small_increase_distance,0.23288478814047517
92,6.835528392860779,6.284595948835016,6.583514277762511,30.0,-23.41648572223749,7.362983393292282,-1.2258658979730814,-10.202789941502457,49,187,distance_too_small_increase_distance,-0.034469919578298265
93,8.841676475579055,7.382852960398962,6.863282816685269,30.0,-23.13671718331473,7.679506012005465,0.019869567106679753,-10.335378509222506,48,185,distance_too_small_increase_distance,-0.1481544092154538
94,11.53282940455399,10.674571926554984,8.19723400513967,30.0,-21.80276599486033,9.02406428587747,2.995065914549519,-9.870240317097604,50,174,distance_too_small_increase_distance,-0.027901373817239665
95,14.795692501274223,15.142548213561978,10.628093978087477,30.0,-19.371906021912523,11.417713203455286,6.118483927684508,-8.898537786199663,54,154,distance_too_small_increase_distance,-0.5905670518853104
96,18.51671373585261,18.066906832371647,13.231678477086938,30.0,-16.768321522913062,13.943561499982911,6.649193628916361,-8.018557723732222,57,134,distance_too_small_increase_distance,-0.5064893653480805
97,22.595600858692883,22.629502533830312,16.520916896947117,30.0,-13.479083103052883,17.162401514845694,8.685941033847401,-6.688419971347383,63,107,distance_too_small_increase_distance,-0.4629448643240408
98,26.906587661159104,25.020574404817623,19.495797024701794,30.0,-10.504202975298206,20.030870622409584,7.858172889971929,-5.665692186583102,67,84,distance_too_small_increase_distance,-0.3490363896605186
99,31.376056811347,30.95976638212043,23.508186299798318,30.0,-6.491813700201682,23.961441674724966,10.928895759710848,-3.8496138841303797,74,51,distance_too_small_increase_distance,0.1399209793532028
